,FileName,BatchSize,EcodeLength,Old_1_BatchTime,Old_5_BatchTime,Old_BatchMemPeak,Old_MaxMem,New_1_BatchTime,New_5_BatchTime,New_BatchMemPeak,New_MaxMem,DistMat_Mem,Old_Cost,New_Cost
1,mprofile_20240623231458.dat,200000,100,12.77,64.13,11444,20203,2.91,14.63,1430,11627,8819,11384,2808
2,mprofile_20240623230438.dat,400000,100,25.64,129.26,22888,31673,5.73,28.77,2861,12707,8819,22854,3888
3,mprofile_20240623225558.dat,600000,100,41.71,203.54,34332,43088,8.66,43.66,4291,13620,8819,34269,4801
4,mprofile_20240623223608.dat,800000,100,51.56,260.94,39863,54558,11.7,58.66,5767,11604,5863,48695,5741
5,mprofile_20240623222810.dat,1000000,100,72.81,353.3,-30091,58335,14.52,72.85,7269,7963,1143,57192,6820
6,mprofile_20240624003210.dat,200000,100,13.22,65.97,11444,16502,3.14,15.79,1430,8205,5318,11184,2887
7,mprofile_20240623234043.dat,200000,120,15.88,79.57,11444,17541,2.91,14.7,1430,9263,6371,11170,2892
8,mprofile_20240623234423.dat,200000,140,18.71,94.12,11444,18548,2.86,14.45,1430,10098,7287,11261,2811
9,mprofile_20240623234715.dat,200000,160,20.97,105.12,11444,19578,2.94,14.75,1430,11047,8204,11374,2843
10,mprofile_20240623235025.dat,200000,180,23.68,118.55,11444,20520,2.98,15.12,1430,12011,9120,11400,2891
11,mprofile_20240623235343.dat,200000,200,25.87,130.14,11444,21328,3.07,15.53,1430,12798,9898,11430,2900
12,mprofile_20240623235829.dat,200000,300,37.59,188.95,11444,25823,3.01,15.57,1430,17515,14614,11209,2901
13,mprofile_20240624000253.dat,200000,400,49.53,248.92,11444,30446,3,15.23,1430,21920,19029,11417,2891
14,mprofile_20240624001740.dat,200000,500,60.99,306.69,11444,35096,2.97,15.08,1430,26632,23732,11364,2900
